"car_expect","car_freq","n"
"About the same","Much less than before",22
"About the same","Somewhat less than before",129
"About the same","About the same",293
"About the same","Somewhat more than before",239
"About the same","Much more than before",63
"Much less than before","Much less than before",3
"Much less than before","Somewhat less than before",5
"Much less than before","About the same",11
"Much less than before","Somewhat more than before",11
"Much less than before","Much more than before",14
"Much more than before","Much less than before",2
"Much more than before","Somewhat less than before",8
"Much more than before","About the same",16
"Much more than before","Somewhat more than before",19
"Much more than before","Much more than before",9
"Somewhat less than before","Much less than before",1
"Somewhat less than before","Somewhat less than before",12
"Somewhat less than before","About the same",18
"Somewhat less than before","Somewhat more than before",36
"Somewhat less than before","Much more than before",15
"Somewhat more than before","Much less than before",4
"Somewhat more than before","Somewhat less than before",22
"Somewhat more than before","About the same",33
"Somewhat more than before","Somewhat more than before",60
"Somewhat more than before","Much more than before",19
