"transit_expect","transit_freq","n"
"About the same","Much less than before",1
"About the same","Somewhat less than before",11
"About the same","About the same",829
"About the same","Somewhat more than before",27
"About the same","Much more than before",7
"Much less than before","Somewhat less than before",3
"Much less than before","About the same",37
"Much less than before","Somewhat more than before",6
"Much less than before","Much more than before",3
"Much more than before","Much less than before",1
"Much more than before","Somewhat less than before",5
"Much more than before","About the same",1
"Much more than before","Somewhat more than before",2
"Much more than before","Much more than before",1
"Somewhat less than before","Somewhat less than before",1
"Somewhat less than before","About the same",50
"Somewhat less than before","Somewhat more than before",5
"Somewhat more than before","Much less than before",1
"Somewhat more than before","Somewhat less than before",4
"Somewhat more than before","About the same",28
"Somewhat more than before","Somewhat more than before",13
"Somewhat more than before","Much more than before",4
