walk_expect,walk_freq,n,
About the same (intention),Much less than before (behavior),43,About the same (intention) [43] Much less than before (behavior)
About the same (intention),Somewhat less than before (behavior),147,About the same (intention) [147] Somewhat less than before (behavior)
About the same (intention),About the same (behavior),400,About the same (intention) [400] About the same (behavior)
About the same (intention),Somewhat more than before (behavior),136,About the same (intention) [136] Somewhat more than before (behavior)
About the same (intention),Much more than before (behavior),42,About the same (intention) [42] Much more than before (behavior)
Much less than before (intention),About the same (behavior),10,Much less than before (intention) [10] About the same (behavior)
Much less than before (intention),Somewhat more than before (behavior),5,Much less than before (intention) [5] Somewhat more than before (behavior)
Much less than before (intention),Much more than before (behavior),4,Much less than before (intention) [4] Much more than before (behavior)
Much more than before (intention),Much less than before (behavior),11,Much more than before (intention) [11] Much less than before (behavior)
Much more than before (intention),Somewhat less than before (behavior),20,Much more than before (intention) [20] Somewhat less than before (behavior)
Much more than before (intention),About the same (behavior),12,Much more than before (intention) [12] About the same (behavior)
Much more than before (intention),Somewhat more than before (behavior),10,Much more than before (intention) [10] Somewhat more than before (behavior)
Much more than before (intention),Much more than before (behavior),3,Much more than before (intention) [3] Much more than before (behavior)
Somewhat less than before (intention),Much less than before (behavior),6,Somewhat less than before (intention) [6] Much less than before (behavior)
Somewhat less than before (intention),Somewhat less than before (behavior),6,Somewhat less than before (intention) [6] Somewhat less than before (behavior)
Somewhat less than before (intention),About the same (behavior),9,Somewhat less than before (intention) [9] About the same (behavior)
Somewhat less than before (intention),Somewhat more than before (behavior),5,Somewhat less than before (intention) [5] Somewhat more than before (behavior)
Somewhat less than before (intention),Much more than before (behavior),1,Somewhat less than before (intention) [1] Much more than before (behavior)
Somewhat more than before (intention),Much less than before (behavior),15,Somewhat more than before (intention) [15] Much less than before (behavior)
Somewhat more than before (intention),Somewhat less than before (behavior),55,Somewhat more than before (intention) [55] Somewhat less than before (behavior)
Somewhat more than before (intention),About the same (behavior),53,Somewhat more than before (intention) [53] About the same (behavior)
Somewhat more than before (intention),Somewhat more than before (behavior),53,Somewhat more than before (intention) [53] Somewhat more than before (behavior)
Somewhat more than before (intention),Much more than before (behavior),10,Somewhat more than before (intention) [10] Much more than before (behavior)
